run,week_number,step_number,visited,completed,completion_rate,visited_next,drop_off_to_next
1,1,1,5583,4200,0.7522837184309511,5114,0.08400501522478954
1,1,2,5114,4258,0.8326163472819711,4586,0.10324599139616741
1,1,3,4586,3996,0.8713475795900567,4240,0.07544701264718712
1,1,4,4240,3720,0.8773584905660378,3881,0.08466981132075468
1,1,5,3881,3524,0.9080133986086061,3630,0.06467405307910334
1,1,6,3630,3400,0.9366391184573003,3506,0.034159779614325037
1,1,7,3506,3192,0.910439247005134,3472,0.0096976611523103
1,1,8,3472,3132,0.902073732718894,3236,0.0679723502304147
1,1,9,3236,3035,0.9378862793572311,3145,0.028121137206427727
1,1,10,3145,2985,0.9491255961844197,3103,0.013354531001589787
1,1,11,3103,2945,0.9490815339993555,3062,0.013213019658395053
1,1,12,3062,2845,0.9291312867406923,3045,0.005551926845199229
1,1,13,3045,2783,0.9139573070607553,2872,0.05681444991789819
1,1,14,2872,2740,0.9540389972144847,2844,0.00974930362116988
1,1,15,2844,2683,0.9433895921237694,2790,0.01898734177215189
1,1,16,2790,2646,0.9483870967741935,2722,0.024372759856630788
1,1,17,2722,2626,0.964731814842028,2766,-0.016164584864070575
1,1,18,2766,2598,0.9392624728850325,2442,0.1171366594360087
1,2,1,2442,2271,0.9299754299754299,2395,0.01924651924651921
1,2,2,2395,2267,0.9465553235908142,2315,0.03340292275574108
1,2,3,2315,2188,0.9451403887688985,2292,0.00993520518358526
1,2,4,2292,2168,0.9458987783595113,2214,0.03403141361256545
1,2,5,2214,2126,0.960252935862692,2158,0.025293586269195978
1,2,6,2158,2082,0.9647822057460612,2134,0.011121408711770142
1,2,7,2134,2062,0.9662605435801312,2095,0.01827553889409561
1,2,8,2095,1957,0.9341288782816229,2077,0.008591885441527447
1,2,9,2077,2013,0.9691863264323544,2047,0.014443909484833872
1,2,10,2047,1986,0.9702002931118711,2037,0.004885197850513001
1,2,11,2037,1953,0.9587628865979382,1988,0.02405498281786944
1,2,12,1988,1923,0.9673038229376257,1960,0.014084507042253502
1,2,13,1960,1904,0.9714285714285714,1938,0.011224489795918391
1,2,14,1938,1890,0.9752321981424149,1972,-0.01754385964912286
1,2,15,1972,1884,0.9553752535496958,1950,0.011156186612576113
1,2,16,1950,1866,0.9569230769230769,1910,0.02051282051282055
1,2,17,1910,1844,0.9654450261780104,1893,0.008900523560209428
1,2,18,1893,1843,0.9735868991019546,1899,-0.0031695721077653616
1,2,19,1899,1831,0.9641916798314902,1902,-0.0015797788309637184
1,2,20,1902,1837,0.9658254468980021,1887,0.007886435331230235
1,2,21,1887,1815,0.9618441971383148,1857,0.015898251192368873
1,3,1,1857,1726,0.929456112008616,1819,0.020463112547118967
1,3,2,1819,1713,0.9417262231995602,1777,0.023089609675645995
1,3,3,1777,1717,0.9662352279122116,1761,0.009003939223410251
1,3,4,1761,1704,0.9676320272572402,1757,0.0022714366837024436
1,3,5,1757,1699,0.9669891861126921,1737,0.01138303927148554
1,3,6,1737,1685,0.970063327576281,1726,0.0063327576280943765
1,3,7,1726,1680,0.9733487833140209,1730,-0.002317497103128563
1,3,8,1730,1674,0.9676300578034682,1730,0
1,3,9,1730,1651,0.954335260115607,1683,0.027167630057803427
1,3,10,1683,1622,0.9637551990493167,1644,0.02317290552584672
1,3,11,1644,1549,0.9422141119221411,1637,0.0042579075425790425
1,3,12,1637,1584,0.967623701893708,1624,0.007941356139279154
1,3,13,1624,1580,0.9729064039408867,1640,-0.009852216748768461
1,3,14,1640,1565,0.9542682926829268,1615,0.015243902439024404
1,3,15,1615,1540,0.9535603715170279,1572,0.026625386996903977
1,3,16,1572,1531,0.9739185750636132,1583,-0.006997455470737934
1,3,17,1583,1525,0.9633607075173721,1904,-0.20277953253316494
1,3,18,1904,1566,0.8224789915966386,1604,0.15756302521008403
1,3,19,1604,1522,0.9488778054862843,1588,0.009975062344139696
1,3,20,1588,1449,0.9124685138539043,2002,-0.26070528967254414
1,3,21,2002,1467,0.7327672327672328,NA,NA
2,1,1,2665,1919,0.7200750469043152,2087,0.2168855534709193
2,1,2,2087,1818,0.8711068519405846,2029,0.027791087685673177
2,1,3,2029,1762,0.8684080827994086,1876,0.075406604238541175
2,1,4,1876,1659,0.8843283582089553,1774,0.054371002132196145
2,1,5,1774,1564,0.8816234498308907,1602,0.09695603156707999
2,1,6,1602,1465,0.9144818976279651,1525,0.04806491885143571
2,1,7,1525,1411,0.9252459016393443,1470,0.0360655737704918
2,1,8,1470,1299,0.8836734693877552,1423,0.03197278911564627
2,1,9,1423,1292,0.9079409697821503,1344,0.0555165144061841
2,1,10,1344,1262,0.9389880952380952,1312,0.023809523809523836
2,1,11,1312,1242,0.9466463414634146,1290,0.01676829268292679
2,1,12,1290,1224,0.9488372093023256,1279,0.00852713178294573
2,1,13,1279,1182,0.9241594996090696,1249,0.023455824863174324
