run,week_number,step_number,visited,completed,completion_rate,visited_next,drop_off_to_next
1,3,18,1904,1566,0.8224789915966386,1604,0.15756302521008403
1,1,18,2766,2598,0.9392624728850325,2442,0.1171366594360087
1,1,2,5114,4258,0.8326163472819711,4586,0.10324599139616741
1,1,4,4240,3720,0.8773584905660378,3881,0.08466981132075468
1,1,1,5583,4200,0.7522837184309511,5114,0.08400501522478954
1,1,3,4586,3996,0.8713475795900567,4240,0.07544701264718712
1,1,8,3472,3132,0.902073732718894,3236,0.0679723502304147
1,1,5,3881,3524,0.9080133986086061,3630,0.06467405307910334
1,1,13,3045,2783,0.9139573070607553,2872,0.05681444991789819
1,1,6,3630,3400,0.9366391184573003,3506,0.034159779614325037
2,3,17,687,661,0.9621542940320232,32,0.9534206695778749
2,1,1,2665,1919,0.7200750469043152,2087,0.2168855534709193
2,1,5,1774,1564,0.8816234498308907,1602,0.09695603156707999
2,1,19,1166,1098,0.9416809605488851,1066,0.08576329331046317
2,1,3,2029,1762,0.8684080827994086,1876,0.075406604238541175
2,1,9,1423,1292,0.9079409697821503,1344,0.0555165144061841
2,1,4,1876,1659,0.8843283582089553,1774,0.054371002132196145
2,2,23,831,794,0.9554753309265944,786,0.054151624548736454
2,1,6,1602,1465,0.9144818976279651,1525,0.04806491885143571
2,2,4,1019,961,0.943081452404318,980,0.03827281648675174
3,3,17,484,455,0.9400826446280992,49,0.8987603305785123
3,1,1,2299,1541,0.6702914310569813,1685,0.26707264027838196
3,1,19,856,802,0.9369158878504673,755,0.1179906542056075
3,1,3,1632,1364,0.8357843137254902,1470,0.09926470588235292
3,1,5,1372,1180,0.8600583090379009,1237,0.09839650145772594
3,1,4,1470,1261,0.8578231292517007,1372,0.06666666666666665
3,1,9,1091,974,0.8927589367552704,1019,0.06599450045829514
3,1,6,1237,1102,0.8908649959579629,1158,0.06386418755052548
3,2,23,559,532,0.9516994633273703,534,0.04472271914132375
3,1,14,941,852,0.9054197662061636,903,0.040382571732199835
4,3,17,594,571,0.9612794612794613,178,0.7003367003367003
4,1,1,2890,1803,0.6238754325259516,1980,0.31487889273356406
4,1,19,970,911,0.9391752577319588,847,0.1268041237113402
4,1,3,1875,1588,0.8469333333333333,1677,0.10560000000000003
4,1,5,1550,1349,0.8703225806451613,1418,0.08516129032258068
4,1,4,1677,1440,0.8586762075134168,1550,0.0757304710793083
4,1,6,1418,1249,0.8808180535966149,1311,0.07545839210155147
4,1,9,1242,1107,0.8913043478260869,1160,0.06602254428341381
4,1,2,1980,1687,0.852020202020202,1875,0.05303030303030298
4,1,14,1081,980,0.906567992599445,1033,0.044403330249768724
5,3,17,628,577,0.9187898089171974,25,0.9601910828025477
5,1,1,2670,1678,0.6284644194756555,1855,0.30524344569288386
5,1,3,1759,1467,0.8339965889710063,1583,0.1000568504832291
5,1,19,935,876,0.9368983957219251,854,0.08663101604278078
5,1,5,1465,1273,0.8689419795221843,1339,0.08600682593856657
5,1,4,1583,1359,0.8584965255843335,1465,0.07454200884396711
5,1,9,1211,1089,0.8992568125516103,1147,0.05284888521882747
5,1,2,1855,1556,0.8388140161725067,1759,0.051752021563342354
5,1,6,1339,1210,0.9036594473487677,1275,0.047796863330843875
5,1,14,1026,940,0.9161793372319688,988,0.03703703703703709
6,3,17,292,278,0.952054794520548,28,0.904109589041096
6,1,1,2243,1228,0.5474810521622827,1444,0.35621934908604547
6,1,19,562,497,0.8843416370106761,476,0.15302491103202842
6,1,5,1050,848,0.8076190476190476,914,0.12952380952380949
6,1,3,1297,1012,0.7802621434078643,1132,0.1272166538164996
6,1,2,1444,1115,0.7721606648199446,1297,0.10180055401662047
6,1,9,746,646,0.8659517426273459,685,0.08176943699731909
6,1,14,639,551,0.8622848200312989,592,0.07355242566510167
6,1,4,1132,639,0.5644876325088339,1050,0.07243816254416957
6,1,7,851,729,0.8566392479435958,790,0.0716803760282021
7,3,17,292,269,0.9212328767123288,49,0.8321917808219178
7,1,1,1594,992,0.6223337515683814,1147,0.2804265997490589
7,1,19,537,475,0.8845437616387337,432,0.1955307262569832
7,1,3,1068,858,0.8033707865168539,949,0.11142322097378277
7,1,5,873,727,0.8327605956471936,782,0.1042382588774341
7,1,4,949,797,0.839831401475237,873,0.08008429926238148
7,2,23,328,307,0.9359756097560976,302,0.07926829268292679
7,1,2,1147,922,0.8038360941586749,1068,0.0688753269398431
7,1,6,782,683,0.8734015345268542,732,0.06393861892583119
7,1,9,676,589,0.871301775147929,637,0.05769230769230771
